,FQU_SRR1974675,FRE_SRR1974875,FRE_SRR1974876,FRE_SRR1974877,FRE_SRR1974878,FRE_SRR1974879,FRE_SRR1974880,FRE_SRR1974881,FRE_SRR1974882,FRE_SRR1974883,FRE_SRR1974884,FRE_SRR1974885,FRE_SRR1974886,FRE_SRR1974887,FRE_SRR1974888,FRE_SRR1974889,FRE_SRR1974890,FRE_SRR1974891,FRE_SRR1974892,FQU_SRR1974893,FRE_SRR1974894,FQU_SRR1974895,FRE_SRR1974896,FQU_SRR1974897,FQU_SRR1974898,FQU_SRR1974899,FRE_SRR1974900,FQU_SRR1974901,FQU_SRR1974902,FQU_SRR1974903,FQU_SRR1974904,FQU_SRR1974905,FQU_SRR1974906,FQU_SRR1974907,FQU_SRR1974908,FQU_SRR1974909,FQU_SRR1974910,FQU_SRR1974911,FQU_SRR1974912,FQU_SRR1974913,FRE_SRR1974914,FQU_SRR1974915,FQU_SRR1974916,FQU_SRR1974917,FQU_SRR1974918,FQU_SRR1974919,FQU_SRR1974920,FQU_SRR1974921,FQU_SRR1974922,FQU_SRR1974923,FQU_SRR1974924,FQU_SRR1974925,FQU_SRR1974926,FQU_SRR1974927,FQU_SRR1974928,FQU_SRR1974929,FQU_SRR1974930,FQU_SRR1974931,FQU_SRR1974932,FQU_SRR1974933,FQU_SRR1974934,FQU_SRR1974935,FQU_SRR1974936,FQU_SRR1974937,FQU_SRR1974938,FQU_SRR1974939,FQU_SRR1974940,FQU_SRR1974941,FQU_SRR1974942,FQU_SRR1974943,FQU_SRR1974944,FQU_SRR1974945,FRE_SRR1974946,FQU_SRR1974947,FQU_SRR1974948,FQU_SRR1974949,FQU_SRR1974950,FQU_SRR1974951,FQU_SRR1974952,FQU_SRR1974953,FQU_SRR1974954,FQU_SRR1974955,FQU_SRR1974956,FQU_SRR1974957,FQU_SRR1974958,FQU_SRR1974959,FQU_SRR1974960,FQU_SRR1974961,FQU_SRR1974962,FQU_SRR1974963,FQU_SRR1974964,FQU_SRR1974965,FQU_SRR1974966,FQU_SRR1974967,FQU_SRR1974968,FQU_SRR1974969,FQU_SRR1974970,FQU_SRR1974971,FQU_SRR1974972,FQU_SRR1974973,FQU_SRR1974974,FQU_SRR1974975,FQU_SRR1974976,FQU_SRR1974977,FQU_SRR1974978,FQU_SRR1974979,FQU_SRR1974980,FQU_SRR1974981,FQU_SRR1974982,FQU_SRR1974983,FQU_SRR1974984,FQU_SRR1974985,FQU_SRR1974986,FQU_SRR1974987,FQU_SRR1974988,FRE_SRR1974989,FQU_SRR1974990,FQU_SRR1974991,FQU_SRR1974992,FQU_SRR1974993,FQU_SRR1974994,FQU_SRR1974995,FQU_SRR1974996,FRE_SRR1974997,FQU_SRR1974998,FQU_SRR1974999,FQU_SRR1975000,FQU_SRR1975001,FQU_SRR1975002,FQU_SRR1975003,FQU_SRR1975004,FQU_SRR1975005,FQU_SRR1975006,FQU_SRR1975007,FQU_SRR1975008
FQU_SRR1974675,0,0.693701934021939,0.656531697296091,0.78464900263679,0.72458078112517,0.756689622246699,0.787469014300086,0.752337025250134,0.758381705789109,0.700725550773123,0.725445918882558,0.685633721173799,0.754912544123529,0.711030670717783,0.721470984995014,0.763535675433663,0.72560337733651,0.736593060936695,0.723230998856058,0.734818285648594,0.746495674738878,0.799602165602573,0.773031477458089,0.758365147345328,0.761539511054666,0.770522007727468,0.756194606041595,0.70252109068095,0.731449188663571,0.685365658900394,0.728456404403865,0.66200476274005,0.735821115889946,0.704834037251247,0.753094114355017,0.706538320283862,0.679803154480079,0.677695388254676,0.698046639261941,0.666186830851818,0.747151354382154,0.685744149773603,0.685085665398738,0.769133709949183,0.688893108460471,0.689445820852834,0.67719605562364,0.674483667633035,0.693684967296638,0.697384587439291,0.682133472100255,0.666332190847776,0.628074800547883,0.683051658415391,0.748273602923879,0.669570905279955,0.674689913676217,0.69048503341516,0.689771382987125,0.710447153793688,0.75852322006214,0.67653135882316,0.664060989885136,0.689211055166823,0.694868986567404,0.725334090386315,0.673180560338211,0.640133136846419,0.687934217370015,0.710002586065469,0.645735768917695,0.696796752078567,0.812514849321945,0.72449356949758,0.772770524851242,0.641611571109726,0.622163527110867,0.749701433148093,0.723606127069008,0.74675535472054,0.715070721731114,0.645553938597615,0.710775612492355,0.73513050736376,0.7541044458601,0.690542478605371,0.690612137186027,0.731114614929502,0.760699149011895,0.705599776055989,0.720203546043712,0.66414464583186,0.740994270196424,0.71758684135082,0.738970323327246,0.721722647008816,0.687990882320471,0.756467859294118,0.728768894318293,0.750338768243199,0.737188547028508,0.721939311606125,0.733367069898432,0.71329828445052,0.679313701875941,0.619485201469655,0.675617115987511,0.654242811507985,0.682397230590945,0.753490346969331,0.716977976521531,0.679327837008051,0.696087321896809,0.726824905947663,0.692178726769265,0.742535465834408,0.658030394670258,0.709924498373768,0.720268756427793,0.70198495883304,0.635166514135619,0.710752133309989,0.690920167808466,0.73448489788246,0.704010334643236,0.743335437292451,0.691511277859842,0.761882360450546,0.748223725856021,0.719506926063196,0.716833192374967,0.705083470720413,0.741185551389568,0.677726540225084,0.730451931450104
FRE_SRR1974875,0.693701934021939,0,0.530977230360661,0.678231570115663,0.504707807301738,0.589121427466956,0.612754246250426,0.547084417779817,0.558724008434008,0.541218364420309,0.610127935821641,0.467375595341486,0.563503527284064,0.439550751625616,0.568527414927873,0.669463867584981,0.508986336366564,0.539811865885116,0.516208248123681,0.608357294102846,0.554020342331724,0.719303563017106,0.577369379257498,0.675432508942603,0.651597634828146,0.645393412511694,0.591367611110171,0.568503018705165,0.621080676299622,0.555108592548735,0.60662248955687,0.549273714242646,0.638851876771836,0.587570791635312,0.629645429637651,0.583730612133855,0.582264099714883,0.561670627864798,0.554427265628824,0.559317740660282,0.533045210200347,0.574035112605449,0.544846276148653,0.739888591215664,0.578131795698217,0.573388435070162,0.557883007273079,0.574783565240103,0.565790774847599,0.60694000767358,0.564842660931292,0.534619790085676,0.478079710046499,0.570176129769939,0.642033169986009,0.55270527275212,0.563902568226403,0.592504657873726,0.551791983542113,0.586140910639364,0.653148550400014,0.532887924321822,0.539979077166523,0.603492856952192,0.566693503386474,0.624902998279554,0.560481939183416,0.470869679330485,0.579916453423808,0.618733941555597,0.516732170478448,0.575893133300269,0.696459566832759,0.602839333916954,0.67347851517954,0.58393983561921,0.593614167954203,0.620040474226446,0.609106400289636,0.679676659331618,0.599657743338419,0.505796761934139,0.595939636597375,0.608212872270921,0.66479060992637,0.563714931029239,0.550164884601812,0.62676457739359,0.669274865184411,0.596816167291075,0.603349726644635,0.527479545541148,0.627342376273122,0.60092845896204,0.621503429848943,0.601809443284557,0.565123969368527,0.676648279073461,0.595300246231997,0.684139560635332,0.636564101827289,0.607835415947675,0.641766478863619,0.576594279145583,0.529151723038585,0.597681386962846,0.590574663479495,0.540448151239579,0.572100678825156,0.643762491152273,0.6347347909405,0.579024378864452,0.599832268238328,0.626529644389964,0.55909018963276,0.525948487433305,0.536942632304954,0.585077404706063,0.618417545230358,0.620122696378769,0.522967390030247,0.610238475819029,0.606409052411814,0.550612315330691,0.610573893716401,0.650516434741318,0.611126438557656,0.666010570396016,0.633346384781507,0.617264007242208,0.61940601879215,0.626504169269378,0.692402254676176,0.578621016583828,0.633836615764093
FRE_SRR1974876,0.656531697296091,0.530977230360661,0,0.58964300015238,0.543781048272019,0.536638082357262,0.584492489543838,0.538794283847578,0.562713440002989,0.555277681258592,0.525088692960313,0.560570694495951,0.543586513091534,0.538135673469698,0.537737660344392,0.587547427430654,0.533791919923621,0.513282433517267,0.523088856227378,0.566190019690384,0.53073341919487,0.566252739319045,0.495797148886766,0.576835915780366,0.550034133332727,0.530743538336875,0.540347256350234,0.580957095727828,0.595922673954657,0.567279725428744,0.552635590980942,0.574937053155738,0.593121058775456,0.55501226758812,0.565455626582804,0.59017031783683,0.619428823189403,0.620374697260235,0.566984724684474,0.598067826315807,0.525512345817014,0.559887815985218,0.603556900155684,0.66202268498269,0.582958555617359,0.571997740889438,0.604404635201811,0.595111740858804,0.57667648692706,0.631182820964678,0.613146997318063,0.590712015526393,0.592590563688998,0.572568391849784,0.559681994787311,0.585873473432865,0.624980226058227,0.613753330759189,0.566561669834885,0.549904607677431,0.599464749059474,0.576846581078188,0.603921739126848,0.62570893558606,0.538872594121202,0.599334348218851,0.601682481026597,0.540746477275558,0.623324665117635,0.579644159214385,0.597308887489841,0.577716801722245,0.584889009424503,0.563473440285244,0.589559425968788,0.240997210307477,0.247048654190326,0.560294240270596,0.594579165596703,0.643546613679698,0.608077435578866,0.576552282261756,0.587574217236664,0.577501248300202,0.61896076764448,0.568285034570788,0.568106588055131,0.557844482252498,0.621779716496611,0.586724933616723,0.572658602770533,0.574959130761153,0.615376206766968,0.609700082896906,0.559475989882748,0.596728180548068,0.568935665444699,0.619932704929457,0.581135233161675,0.652788471382431,0.532039650042292,0.57910986080779,0.561390560740706,0.602502024354707,0.575244775410641,0.250443227998849,0.614029991783345,0.617234794617381,0.608693268020928,0.581001846285695,0.594566007396449,0.622295665329348,0.612330745938218,0.563430454478814,0.567795435086402,0.544304100393477,0.574006130431374,0.562370262501273,0.591255840575254,0.579053185529018,0.616253190853438,0.581784445882027,0.619545601949128,0.588649832923857,0.611984738990441,0.581619273958113,0.620042887632556,0.569063170116894,0.582222169355916,0.555825140659153,0.603016635512828,0.585345940411871,0.609626767617809,0.606091372214605,0.551707169923506
FRE_SRR1974877,0.78464900263679,0.678231570115663,0.58964300015238,0,0.710073190948886,0.724809292100958,0.753944896294618,0.734290764085516,0.740598391399549,0.677938954706771,0.705439210354809,0.676623428499156,0.735667654677966,0.678552427264814,0.710699323926038,0.736841822278373,0.702025894490459,0.709404093843623,0.696586223830055,0.740237555230976,0.708290167010302,0.783350784667258,0.751443162163712,0.768067324332122,0.75482306797853,0.763874430591553,0.738738848341804,0.697218654662062,0.711897960114556,0.692247427389558,0.721931240525457,0.671893257947145,0.750959921627959,0.709572097092733,0.742974788377463,0.714421932558624,0.705489772904762,0.678860951425881,0.695133819739834,0.69623725030499,0.733620665864876,0.709281917752985,0.684720889638549,0.788697088698972,0.713811898328974,0.697857680803762,0.694448250164569,0.682840712639986,0.691463437242937,0.727165821178931,0.687746723160688,0.674440905280141,0.643433340088279,0.685689441202142,0.725086527862999,0.693206493215857,0.688533015405249,0.719515576900993,0.679033444605204,0.708473048738283,0.721598055155802,0.66819123145262,0.676869288763676,0.720860586285778,0.685880142088134,0.700598404207142,0.692201903949426,0.61217992158663,0.700271986092891,0.720287834736025,0.670126688378332,0.68388934163395,0.776482520387734,0.714333187546751,0.76932124355091,0.57511977338675,0.569998739535243,0.734570548486491,0.718749437705374,0.757890227858012,0.715334135418084,0.6457238796788,0.714591558515312,0.724581322424833,0.759996885793994,0.683407557452744,0.663918931936482,0.726030347185934,0.755252144016263,0.719337442933183,0.719676832542797,0.667520785366243,0.735816980968874,0.722750276221346,0.741192518688782,0.725794614451172,0.690893477709963,0.743895771721652,0.719039940810438,0.757909904958228,0.731595365168624,0.718235375396331,0.742573655261232,0.713957170517032,0.678821419879157,0.598204822252031,0.704981846167808,0.689908421639833,0.699643966526667,0.715185198998826,0.753298999979193,0.710636204918297,0.722084785675921,0.732609562531594,0.714205737845968,0.73919690237004,0.664143211412891,0.705654645370804,0.718067242803594,0.738734533659217,0.669067015869873,0.721172977207525,0.712987303677767,0.716317790878526,0.71494617855174,0.717285683613724,0.713482281331477,0.722290232049398,0.708009552416998,0.726568119419774,0.738369870903633,0.731149685366825,0.762494439443286,0.708998287573273,0.732920089994005
FRE_SRR1974878,0.72458078112517,0.504707807301738,0.543781048272019,0.710073190948886,0,0.622477040339719,0.65691252006342,0.611280322603281,0.582799440326931,0.574853137557664,0.638768356271656,0.532792707248053,0.625028685406974,0.484271643160513,0.603863036169556,0.697240090487925,0.54553963914479,0.560651149336875,0.565076589046361,0.640500049324503,0.582795197427852,0.742232594669916,0.576446452969076,0.703764188017086,0.674597766816187,0.680499916682949,0.626536823396835,0.608571155207541,0.648739171954423,0.596823212500682,0.641053683452425,0.580780668848816,0.675843815878296,0.6219485268004,0.665863411799208,0.609958408159276,0.607091147357647,0.601260926379546,0.588043222931921,0.600215199318152,0.545948190404543,0.614482094125804,0.59197209617064,0.748925603703023,0.607816312101312,0.597106468397208,0.593158363512635,0.601123331426705,0.593968735646737,0.643555820862949,0.596786992424344,0.576348346844695,0.534103131390553,0.599266021154329,0.659923811659015,0.595236377841193,0.601009613329478,0.620038098301455,0.58960217738409,0.612458635213496,0.664768775035506,0.562951442724219,0.558595469885778,0.627427981105412,0.594773933102327,0.646105441404787,0.610062415019537,0.526598211119615,0.607701424080855,0.64042239819136,0.551428047520064,0.614078597390437,0.703558052257008,0.641657273195412,0.716411379107827,0.586789082603369,0.586849722721548,0.653051691242067,0.632612721205605,0.714071704271604,0.6303343004675,0.543818213378054,0.63035274680071,0.642893974393397,0.697058016141217,0.586544761230261,0.580222020324484,0.658068044397067,0.690179670661366,0.625554040233792,0.637255036298331,0.558133359529099,0.655606560888454,0.639716588624532,0.647272478806552,0.623959454040017,0.598204225586111,0.680552216522372,0.625169681707552,0.711830846504368,0.662762087115423,0.652231297153453,0.669132904843042,0.608231395109278,0.564694018660538,0.586296966572348,0.620222917265417,0.575351552392944,0.610840905858792,0.658767837924095,0.657501531192978,0.616217047710514,0.628286691195796,0.656072107104295,0.598401172151949,0.575500646032708,0.567512944254321,0.626060874932549,0.646427365308003,0.650560436864326,0.557258130724426,0.648121240715263,0.628809799799467,0.561818039611882,0.63520793559551,0.662245946916627,0.644196426266406,0.687964109221469,0.665688157314803,0.64631787788393,0.641984520993144,0.650732234632518,0.711353987211854,0.607340908730928,0.648841294697097
FRE_SRR1974879,0.756689622246699,0.589121427466956,0.536638082357262,0.724809292100958,0.622477040339719,0,0.688497861725351,0.647670138405653,0.663193555067127,0.61017808891641,0.684971329680332,0.574353578640571,0.67644556150571,0.586985203549708,0.626311581916088,0.722080466351343,0.620001903914296,0.629679957686621,0.601273947224443,0.680255299692624,0.641839055353777,0.746778643344991,0.667008165374927,0.710716479817401,0.703374095464637,0.70909162451374,0.640201787590348,0.650240842468159,0.68983146319255,0.627281524502918,0.674431674527598,0.631685346282049,0.708986014517716,0.652822648884229,0.69218721578587,0.652014214234811,0.679515434152804,0.651505692890761,0.627931072665372,0.64757081916511,0.655932630433246,0.644304217426031,0.626062467572912,0.768982819811144,0.668281410723179,0.641413549577674,0.640515809281975,0.649293780032314,0.642522361238835,0.677190648130882,0.646241000840361,0.619800244187799,0.58501603111358,0.64430500153197,0.705727877807252,0.63787489942748,0.654088483567209,0.669487579822227,0.629082665862669,0.650869121654095,0.692507928598708,0.606670621693011,0.618620993892595,0.678099659726216,0.627115233445838,0.688035821390218,0.65270044702408,0.556629854025927,0.661213504249122,0.673586716285515,0.608611500613221,0.651367833654027,0.769314989396421,0.687051023374276,0.733474376081055,0.569001440083597,0.558868878844695,0.68200407912439,0.682849924849947,0.746629642678725,0.669065849978154,0.591860456140019,0.668072497241574,0.685364939951209,0.730424764160187,0.636625995346328,0.638853009353631,0.689208679916602,0.730264859059884,0.666951280865103,0.662181050799914,0.616324189767484,0.681971013269123,0.683802420161641,0.691087240347434,0.687964285215751,0.641371560228497,0.727741149402342,0.676820423159531,0.755106632965313,0.695787827017763,0.682744145424715,0.696724498018527,0.673040440972691,0.627487842066933,0.559400608561251,0.672301540562471,0.633262922261032,0.65647826874281,0.702285381914549,0.70315894887207,0.6744527283982,0.671319636776428,0.6945668562773,0.645146330252074,0.669393559735934,0.619306581281304,0.650499368571024,0.685647859898304,0.680843615553324,0.619502047145365,0.674118265206325,0.67157279330095,0.644671605562929,0.682188035631912,0.693703211824524,0.689445664373406,0.710215617629716,0.699158234723889,0.678625050947343,0.687310944269686,0.694495280694772,0.736797995649731,0.65322114310179,0.692647826497302
FRE_SRR1974880,0.787469014300086,0.612754246250426,0.584492489543838,0.753944896294618,0.65691252006342,0.688497861725351,0,0.695149652893162,0.690011599789373,0.666346697669767,0.717348344867922,0.623178007780358,0.681630010500141,0.600990959490957,0.706781523479353,0.771190868919568,0.644429875784124,0.680315971216392,0.638561893559103,0.726695613356524,0.695668748965317,0.791459949430899,0.720340030866743,0.766552956911128,0.7377879825462,0.738207192250229,0.700632391124933,0.71430871304266,0.726949860270445,0.680384664821466,0.731010093141388,0.67719303671375,0.736068278634311,0.717295429432856,0.745215542733765,0.708943299605602,0.701627740938879,0.676426237340016,0.683501684955042,0.683301270629676,0.690643501179308,0.698831896020839,0.677021043748708,0.799597713865845,0.696968334195924,0.689117065999792,0.679712636987755,0.694460765689562,0.68597918775669,0.710211885325024,0.680430328321101,0.677340826113025,0.610423435553188,0.692493860998714,0.743084535424678,0.691464394579045,0.685833352831091,0.69285503052751,0.682454100713088,0.713575240742471,0.742125834461908,0.666505680653096,0.667045851853704,0.706981461337121,0.679191300538184,0.722215602684042,0.700846525916004,0.626598772920907,0.680834308587473,0.738617193250346,0.657831103979365,0.694694680574647,0.798469159718647,0.716559078378395,0.767088423985617,0.622121935549682,0.621520695442085,0.736571964376455,0.728453936707884,0.757539016801469,0.716980066627542,0.640121878006895,0.704142681129526,0.729693448871388,0.757955006209171,0.68745544811956,0.681201562643166,0.723221924793386,0.738404563214363,0.713791632956202,0.72695948581477,0.664404616652358,0.752393879424037,0.702047938812209,0.754840487059573,0.708635093966392,0.689085796541479,0.759658331456736,0.721173645170049,0.766976789258081,0.749237694517899,0.730699468713587,0.749599027227597,0.688696913623963,0.662550210374755,0.626152286537515,0.706886875193504,0.674160302730858,0.700644336361854,0.743124166960614,0.737678667030255,0.713572869833712,0.703228309043238,0.744032127042426,0.676875186280145,0.690952107761945,0.668644820127844,0.701015155055036,0.730621138878475,0.728150066810649,0.647001541359081,0.725326608656988,0.711474664249708,0.671289157627649,0.709734239464226,0.736616648460842,0.735327730912737,0.773268551780152,0.730021842025542,0.720963744075608,0.73223205885374,0.736184559587998,0.78657019490155,0.694281100435619,0.739683864948703
FRE_SRR1974881,0.752337025250134,0.547084417779817,0.538794283847578,0.734290764085516,0.611280322603281,0.647670138405653,0.695149652893162,0,0.638826871995858,0.612563741438129,0.678599234236998,0.547175515345969,0.626820204760203,0.536996322612103,0.649449032166961,0.730834487398899,0.612216659316963,0.620068400231691,0.587257382582552,0.689053580284361,0.644784985154555,0.752905450272618,0.660341862153119,0.736708749108258,0.718128803026584,0.739376980538552,0.659097929153418,0.66752353104725,0.693429641060409,0.6594465616328,0.686396023039432,0.634246617985599,0.70332291098059,0.668745760799276,0.715232555065255,0.660264684725657,0.677005937757347,0.656571620620309,0.631551329134662,0.642917772504244,0.628485566427102,0.653882997450647,0.640175924200111,0.780744163354657,0.667336163454164,0.653749263968776,0.656907367187611,0.666895902463393,0.653767764063503,0.693377894128746,0.650896701223995,0.635118918450948,0.571363346902028,0.639364676821054,0.700017327648776,0.659955548048287,0.655447250667251,0.67916584718089,0.649966236691147,0.662603260606218,0.724303586422002,0.621022708794369,0.632020730014227,0.687451020355871,0.65117409490525,0.696170133232357,0.658323394669364,0.575650171947647,0.666529484241861,0.686109730983036,0.622749679664536,0.651821632589075,0.764758544071851,0.686186996907549,0.73953981281265,0.592206519443954,0.609888153105509,0.702452653959738,0.671588006114851,0.761118674747269,0.670788316655512,0.610477730270253,0.691437809737322,0.689294231745945,0.719024700076104,0.649051786400555,0.640736485795148,0.6989784844593,0.738132196922136,0.669804093839985,0.692555989884306,0.618257844141007,0.696723921802778,0.679941496776833,0.699417965243766,0.667900934542742,0.651667141387906,0.72617481227568,0.670280141974513,0.75283005215797,0.706315128565875,0.680572537101597,0.710308389315316,0.656357627318674,0.622533008222714,0.593023281905483,0.661716478578745,0.6375868538361,0.672114933283917,0.718471755356651,0.712505507209492,0.673744443073545,0.678168091720877,0.705301623103793,0.632758234689587,0.632726727083095,0.624255199897426,0.679657592112663,0.68925802938,0.697537894197641,0.626805480347037,0.691299773321183,0.687372658455833,0.646110285924184,0.68739494189503,0.708468615499969,0.688191473831793,0.720447683497237,0.709875359964433,0.69326247951476,0.691928358709681,0.702566948277873,0.756514108110349,0.67032921662826,0.700919733713354
FRE_SRR1974882,0.758381705789109,0.558724008434008,0.562713440002989,0.740598391399549,0.582799440326931,0.663193555067127,0.690011599789373,0.638826871995858,0,0.63160159208241,0.686933624749022,0.563776218511642,0.637791227867957,0.534802320561933,0.658157768863395,0.732398282879238,0.588224892806258,0.627948705039602,0.613675483077048,0.699374478167022,0.63161868468554,0.777042233369034,0.647506619118926,0.741320420221409,0.714466719757714,0.729541296795607,0.693101821470671,0.681885248059833,0.715481720496701,0.663735078713199,0.708623378365799,0.651869302199455,0.719731940549604,0.688588247571413,0.727025526684307,0.688584582338167,0.677409995628594,0.665032048973028,0.664737899499455,0.656523246507513,0.608358105042332,0.671374200875551,0.651422658936503,0.775558014514624,0.685636225896973,0.66062867918451,0.660211179782244,0.670870036218431,0.668511668628498,0.69205464445853,0.669819014535149,0.641795386982043,0.586743280430206,0.659056046651741,0.711126298425632,0.655859154879176,0.659976342340019,0.686430279765689,0.668954712987041,0.675023665496398,0.718874029678874,0.632274655725074,0.6393714013533,0.695575024628908,0.66233479828538,0.700363944420442,0.668399234862938,0.59846777521144,0.667144350973667,0.694523874836423,0.634594441563994,0.667749436819902,0.764109702543678,0.691267052238499,0.752091340624602,0.623530555376865,0.638108213374471,0.717700318716951,0.686387804286465,0.762354045444412,0.693995915820676,0.63044637725862,0.683279238785102,0.705341645881016,0.732561215653269,0.67278197542152,0.650379816003432,0.714553489474024,0.738843963298711,0.687575975938789,0.698536682618787,0.637288660144987,0.708406719231611,0.689549561381864,0.717324653159586,0.700218457528936,0.668176761069551,0.718479207506977,0.677734139837393,0.74571610557483,0.70934635185679,0.709059859476777,0.729203849155578,0.674302456079869,0.65153742310183,0.620377633058014,0.683695332846444,0.639844049570911,0.668796635541935,0.712211265783963,0.714241677026881,0.683948442387554,0.679722804986729,0.71095811579467,0.645688100134122,0.617050221835269,0.63668544859922,0.690098575818312,0.700823041240186,0.711417297882655,0.628109229535617,0.688869006171136,0.680732679289505,0.629314375720938,0.691535140985709,0.717099551639391,0.694997882232792,0.725754206711685,0.701364716720224,0.70325032183419,0.70661608947177,0.710285117465008,0.756938899394092,0.671429970518889,0.706082623034589
FRE_SRR1974883,0.700725550773123,0.541218364420309,0.555277681258592,0.677938954706771,0.574853137557664,0.61017808891641,0.666346697669767,0.612563741438129,0.63160159208241,0,0.618123293017541,0.528066233658847,0.618061879081291,0.543392583191721,0.60748380008483,0.670311388147856,0.58001969557388,0.609692850697124,0.575056069394047,0.635469264848567,0.615329740754883,0.713328421428173,0.641765338485915,0.682405249547594,0.640077322463269,0.667809209177874,0.623494679152284,0.593912251569689,0.643156924867232,0.577714730695913,0.620021624149352,0.564128726325924,0.659960594500307,0.60904726982337,0.652593232859128,0.61496542473191,0.608134997151018,0.590514071109839,0.586172987934067,0.593606183049297,0.613454578024032,0.602009941686254,0.574674106870004,0.720174482740322,0.600714660539841,0.591319725606669,0.58652459407691,0.59104243510632,0.58097384156215,0.639746371345292,0.585967520465016,0.56872634627926,0.519596795857937,0.577084321959725,0.648782097514443,0.575399369288482,0.588288819828885,0.615987414759397,0.577060321050605,0.601217003228631,0.669898720009694,0.559097898372166,0.56587074462533,0.626679933187881,0.584465349546941,0.634626074750914,0.588739866575726,0.512080266307033,0.605473083540153,0.644205672601348,0.550263250023084,0.587450294221242,0.724193741947676,0.628420958099852,0.690117387678783,0.550832226442057,0.571501061094087,0.651290526258729,0.610438844630368,0.685470754065571,0.619742039489654,0.541054750646579,0.606571900717574,0.629851505410659,0.675694772073658,0.584178481619035,0.570054353645799,0.651057576768692,0.6887791842531,0.609875698580209,0.639228045928279,0.562818103119038,0.652346077567537,0.621751138882726,0.644967850565995,0.627851078976254,0.583680798021402,0.673264095807969,0.630421933907115,0.710374691831126,0.651973744107514,0.63423626443315,0.654644703053359,0.613593083430141,0.569855509102032,0.554839188460278,0.608372057369752,0.575169911942451,0.604480019329724,0.658175655403655,0.649704977545681,0.61417828669326,0.623210783767805,0.654045773514381,0.589432947805953,0.621310623388401,0.551804074637992,0.606964865492264,0.64241536761274,0.628763746817308,0.560638412515255,0.626747252231228,0.614189639798699,0.61043817397665,0.629554568455137,0.6561737081662,0.622303264314314,0.675880700269582,0.667154845760943,0.618489016652543,0.628313509342194,0.643449971658496,0.693857365892224,0.603922239268566,0.635646163158167
