"","conc.b","conc.a","fail.r","corr.b","corr.a","corr.theta","corr.ltheta.b","corr.ltheta.t","corr.ltheta.m","corr.ltheta.s","corr.ltheta.r","conc.a2"
"SRR1974543",-2.00725974528024,-0.323955240611833,-2.30258509299405,-0.941381932207387,1,0.162252340649224,-0.973548101392851,3.54938405571074,10.4419311877281,-0.0903084823950603,2.25935934072583,0.149473300413835
"SRR1974544",-1.7712892736497,-0.142199611171677,-2.30258509299405,-1.01910821357858,1,0.204900632644883,-4.38714676419721,2.81856727294907,5.09904512312566,-0.195093621516875,0.387501539258804,0.113688169821189
"SRR1974545",-2.6318844960714,-0.0190735362223239,-2.30258509299405,-0.831409221270142,1,0.124546955020113,-66.5114727450549,3.18742548480159,20.7803973612846,-0.0860989517618085,0.50994877387929,0.0762773507044771
"SRR1974546",-1.01915799599159,-0.327448405032138,-2.30258509299405,-1.60573765050391,1,0.169842127492906,-1.05945924959339,2.31358817584398,8.67316842168847,-0.343414620890753,4.15199022235795,0.115978777922656
"SRR1974547",-0.684440159963841,-0.562071742690549,-2.30258509299405,-1.35619777281899,1,0.208517669461445,-2.64669280643003,2.56229456929791,2.54155911107275,-0.343122665464645,0.166779569667559,0.16100421071364
"SRR1974548",-0.881883694818817,-0.956486116835387,-2.30258509299405,-1.66097009591387,1,0.153321580214137,0.348782483658798,2.06699246131868,6.52183632044405,-0.562515587404433,2.55860282155644,0.262208466582115
"SRR1974549",-2.64539091055401,0.167363815632639,-2.30258509299405,-0.865218507579307,1,0.144303534913322,-20.46160502881,3.6212254464488,22.0869565536197,-0.073778144638799,1.74767252821192,0.0729194584741334
"SRR1974550",0.799826481668027,-0.766122395264846,-2.30258509299405,-2.0782554621017,1,0.216809456135902,-4.56211482687194,2.36368438871594,4.48266274894614,-0.381145761829029,0.156831629157665,0.126953964684816
"SRR1974551",0.476975315672608,-1.12092808897635,-2.30258509299405,-1.68299616325655,1,0.323208758733261,-1.62068588844063,2.33008977706112,2.16097226026803,-0.814518125253164,0.1,0.276318981025825
"SRR1974552",-2.70073637464335,-0.402811063835583,-2.30258509299405,-0.883183379254727,1,0.158441687460419,1.12272562354457,2.22857066176504,7.67213493124729,-0.430431789928902,20,0.21467621954779
"SRR1974553",-2.27758834097905,0.055984531767254,-2.30258509299405,-0.788102508614406,1,0.150649642676297,-0.671742555395399,2.77465113132821,11.4176067391953,-0.188382727685727,7.79277168513631,0.0660002892840267
"SRR1974554",-0.774406387245667,-0.573615004058098,-2.30258509299405,-1.68352618776254,1,0.187683155519756,-1.38923314337876,2.22233604007199,5.16475503336769,-0.546784117497551,0.377129968397235,0.172648976457881
"SRR1974555",0.469514870972422,-0.947958862427613,-2.30258509299405,-1.55393667886385,1,0.369585784973171,-1.77697057660266,2.51727468620769,1.60233266486852,-0.802592980252262,0.1,0.24528052663647
"SRR1974556",0.0563907559477019,-0.420855408211637,-2.30258509299405,-1.58805209007502,1,0.234938843563474,-4.41236346814127,2.72631525529008,4.84985436903078,-0.207143072223078,0.377479026879839,0.128182754891865
"SRR1974557",-1.67286553490688,-0.20168913160974,-2.30258509299405,-1.18971613890881,1,0.13005125496419,-3.19977981108937,2.67655691682808,11.6204753532104,-0.199538624726596,4.46225606182736,0.0768669027663891
"SRR1974558",0.292717856265876,-1.21023590743611,-2.30258509299405,-1.82142594370963,1,0.207073580739423,-3.12389921424728,2.2880516819132,3.72234838598146,-0.577430585381648,0.1,0.291481714989656
"SRR1974559",0.218946204751381,-0.759277344400087,-2.30258509299405,-1.79082867196777,1,0.325474909220465,-0.884313013905003,2.69900264700013,1.72801119417961,-1.22593004640699,0.1,0.211165371724138
"SRR1974560",-0.703657694672376,-0.66087667883321,-2.30258509299405,-1.68920112654611,1,0.177063405729075,-0.25455843972282,2.27452701656999,5.4087740505586,-0.617917813135459,0.837701427666635,0.197918461533954
"SRR1974561",-2.18237660714764,-0.0161798778831981,-2.30258509299405,-0.758293366187419,1,0.186832715986803,-0.19285317208658,3.32196452405018,7.36802291960394,-0.146549157623535,2.42777014088685,0.0807379401357547
"SRR1974562",-2.847392143701,0.163363681802404,-2.30258509299405,-0.97332298770136,1,0.131339611340135,0.729990443423594,2.33558991004121,8.35650661963838,-0.433929394118777,20,0.0648846484155668
"SRR1974563",-2.05669072729073,-0.0378661821220857,-2.30258509299405,-0.867683768070997,1,0.171211889545039,-4.23833468476645,3.13596989709811,4.9567085075762,-0.145248988521501,0.407179563698977,0.106461046983955
"SRR1974564",-3.07460414944064,0.285693996439914,-2.30258509299405,-0.648570985172481,1,0.131901270438082,-4.35034594358746,2.94030509088977,5.19332778407857,-0.13255114361314,0.302873458200217,0.0467911103338985
"SRR1974565",-0.71531652387988,-0.397712843023634,-2.30258509299405,-1.55535869457037,1,0.2180593170001,-0.974537218398232,2.38239989218796,5.56484336771336,-0.37062654190141,0.828717953774814,0.134114071150947
"SRR1974566",-2.20300540963661,0.0138251020705516,-2.30258509299405,-1.06820696374437,1,0.15629077709738,-1.67821238734786,2.87728660608004,9.94688525220969,-0.159140368287408,2.45398398719448,0.0723667280601437
"SRR1974567",-1.88183183339397,-0.265504377996251,-2.30258509299405,-0.963123644005858,1,0.190041812963583,-0.246203427655126,2.83920197397368,9.54161631692145,-0.176033150704889,5.18554998635002,0.164142827109693
"SRR1974568",0.409604406403744,-1.06615010347692,-2.30258509299405,-2.01145100737841,1,0.231060022533338,-1.94767155042645,2.21531252915834,3.74550434266546,-0.839800461034489,0.1,0.239958344633761
"SRR1974569",-2.35925369479001,-0.0517718232178764,-2.30258509299405,-1.16395547383332,1,0.144847058801105,-4.3755273565707,2.74183833057594,5.12515396651786,-0.180944257878412,0.257919676970823,0.0871831207436276
"SRR1974570",-3.15860095734674,0.418023637802938,-2.30258509299405,-0.448250504319569,1,0.16332220946262,-0.409914260225156,2.43304545603021,10.1743291655025,-0.307137979594171,20,0.0249279151329693
"SRR1974571",-1.81515967480408,-0.232806062290394,-2.30258509299405,-1.19159943328196,1,0.187663528083104,0.612969494263351,2.71319270954113,9.98237208282172,-0.233789839683643,20,0.120592377648498
"SRR1974572",-1.64874921262743,-0.17536345754724,-2.30258509299405,-1.07329903560827,1,0.179216447162395,-0.896850687500467,3.54772269844455,11.9994622649839,-0.113210840661739,4.85942970313025,0.0986757054608782
"SRR1974573",-1.38798372492048,-0.285333733501979,-2.30258509299405,-1.09732531347978,1,0.189132307526235,-4.28059883196003,3.10663556929781,4.91010771507776,-0.144474174803952,0.399492115650006,0.109381737788375
"SRR1974574",-3.30951322009576,0.330167004395914,-2.30258509299405,-0.776730066255679,1,0.168647744832792,-15.0816992190883,9.73885530007279,6.651017585744,-0.0236210436515437,0.632361970764631,0.068421865739613
"SRR1974575",-0.998303508360441,-0.53999822631892,-2.30258509299405,-1.21475667667682,1,0.104876711040939,-4.69089801342573,2.39859301400654,4.87753678553828,-0.473255097485323,0.1,0.161130131492049
"SRR1974576",-1.02691946196518,-0.384383011521331,-2.30258509299405,-1.58851986962183,1,0.143545277806997,-1.84498991083305,2.3139142666771,6.01736551718763,-0.366222070917611,0.468191389457089,0.114097323688673
"SRR1974577",-0.950213541249576,-0.88496461494375,-2.30258509299405,-1.33412064890557,1,0.128377035725718,0.788049958361918,2.20852313740067,3.4501206515267,-3.37777623737974,0.1,0.243642153302606
"SRR1974578",-0.614270379352451,-0.402531313702184,-2.30258509299405,-1.55595005602651,1,0.172276594896371,-1.04987029880805,2.44849367900473,10.4286299292511,-0.298805212070983,13.3336172763556,0.121943146977931
"SRR1974579",-0.579693611733964,-0.435736856404502,-2.30258509299405,-1.60151203595239,1,0.158831399717192,-4.14099536772939,2.27683284389302,5.23450535919781,-0.449127040138377,0.181179841289734,0.129181396331407
"SRR1974580",-0.73293825078452,-0.903263918161937,-2.30258509299405,-1.53549003369447,1,0.120713689921297,-0.785504847266517,2.16532691575363,4.69527962645458,-1.40539629099949,0.1,0.237834859754153
"SRR1974581",-2.23116531557083,0.162274501799614,-2.30258509299405,-0.918165255751817,1,0.103989507637945,-0.276209441237727,2.35211168704949,8.22312215604761,-0.669549382188178,20,0.0297696616389128
"SRR1974582",-1.31274561084487,-0.302312431789684,-2.30258509299405,-1.36958658011036,1,0.0877870668464977,-1.16739767683561,2.47150848193264,8.94819006560426,-0.296273720908167,3.27039333784406,0.087296853167929
"SRR1974583",-2.0525787586233,-0.0380689722671818,-2.30258509299405,-1.24621625553316,1,0.138443270026866,-0.659211762075389,2.4657093734939,10.1458854076361,-0.292457681587404,8.27606367747225,0.0624115819552949
"SRR1974584",-0.0484761595672726,-0.697682564445018,-2.30258509299405,-1.382914331015,1,0.276265566205392,-3.85953356370477,2.63033692035039,3.64096160424053,-0.260727922892341,0.268322840044936,0.209689609541569
"SRR1974585",-0.370379759359053,-0.614302263809747,-2.30258509299405,-1.49423799985402,1,0.209039194206535,-4.37529609201508,2.38361434336582,4.52817415365997,-0.331859157622316,0.188987897224787,0.177785530882662
"SRR1974586",-1.68643807694396,-0.0687121240670815,-2.30258509299405,-1.30081188090102,1,0.108758143458781,-2.16786647685729,2.49966433145487,9.68334653700647,-0.273608157241116,3.36457461949752,0.0714143814414972
"SRR1974587",-0.804951803203621,-0.572367171457651,-2.30258509299405,-1.78212026792378,1,0.142477615121502,-5.44835520089812,2.18779871175027,5.27579852134696,-0.550836957797118,0.1,0.151597986929283
"SRR1974588",1.13504575369415,-1.10164009541986,-2.30258509299405,-1.86758778635269,1,0.24341962454987,-1.36610721132095,2.43540507568966,2.71616015163607,-0.736946734935099,0.1,0.201187990569467
"SRR1974589",-0.668552625737943,-0.736324741580951,-2.30258509299405,-1.472551264777,1,0.179995593069793,-0.663405116591847,2.35944210377871,10.5835386818392,-0.256709183280491,9.42340613998033,0.197638075636931
