"","V1","V2"
"1",2.6150107101898,2.6694394155905
"2",0.490192890830709,0.654908446062405
"3",3.60838167170476,3.72353017974875
"4",0.73519365910911,0.889981413245354
"5",0.397392692279421,1.39640423086172
"6",2.48068076910686,2.03325115262833
"7",2.91143618434107,3.42254971353258
"8",-3.49658749082268,0.983006737177118
"9",0.603868365481233,1.39604602217082
"10",2.55095823900337,3.19943759166497
"11",3.0251696815067,3.47570512599689
"12",0.41536279311111,1.42706016624767
"13",-0.288194807859577,0.32154031790189
"14",-0.196299980175832,0.39612971609311
"15",-1.55905149234553,4.15590533298648
"16",0.164689900618675,0.94029083272174
"17",0.0422055962012915,0.88013466493789
"18",0.295397793467511,1.24725656529684
"19",2.72175399009475,3.33616754131801
"20",3.47320982328478,2.92024633027741
"21",2.57920151308671,3.32369420910793
"22",3.57844240771187,2.76109281367879
"23",2.26635294930605,1.36647045631301
"24",2.91916478019715,3.23362851723881
"25",0.213242702804036,0.794924017577267
"26",0.44595077814448,1.33764778845145
"27",3.03960418195424,3.06026005579285
"28",-2.33521313423579,-2.44563834409326
"29",2.66846862662319,3.32974384023143
"30",2.72065319066042,3.27076809629541
"31",2.73584467516348,3.30522239915563
"32",2.6595225066676,3.31444769541001
"33",3.6687830463352,1.92220718297216
"34",3.65324656804351,1.03633492058697
"35",0.913293576610896,0.60072124661574
"36",2.11993284065628,1.2292885265206
"37",2.90813940740686,0.972045877404235
"38",3.81163897165194,1.13283915555037
"39",3.86799386895939,0.977140781698172
"40",5.51073769501603,0.980410519736453
"41",2.72133601741626,0.0636149404928687
"42",-0.100185467277578,0.419050282603293
"43",3.49526170551128,1.09806142367458
"44",2.43693920485184,0.667493763473868
"45",2.89930205653502,0.957544515283719
"46",2.14125240311271,1.23126889286395
"47",2.33923153735543,1.31562220133873
"48",4.22985741967924,2.75405425975253
"49",5.55936530568963,1.02606278940315
"50",4.39038424747562,1.18123249191056
"51",2.48610945338649,1.30754909552349
"52",2.07434104706128,1.21131134275328
"53",4.03651873221254,2.7843538011571
"54",4.32601303436147,1.08162288364398
"55",4.96793047639079,0.790764310369674
"56",5.06499584382579,1.02856946045305
"57",4.63061685754219,0.229934659917077
"58",2.1690643066436,0.492379119784326
