"","conc.b","conc.a","fail.r","corr.b","corr.a","corr.theta","corr.ltheta.b","corr.ltheta.t","corr.ltheta.m","corr.ltheta.s","corr.ltheta.r","conc.a2"
"OLI_SRR1974543",-1.94387606426201,-0.352214984384387,-2.30258509299405,-0.990918534959507,1,0.166096272481008,0.0583933030811498,2.974711994871,7.0129718414107,-0.134742475137374,1.81545089519312,0.160324935069541
"HYB_SRR1974544",-1.63683644816884,-0.175604961086588,-2.30258509299405,-1.05443430611871,1,0.206571442163502,-28.0264120255516,3.43033049699712,21.347686097041,-0.0855661970692951,1.89212353023082,0.12052868117212
"OLI_SRR1974545",-2.64210609973862,-0.000515536192049233,-2.30258509299405,-0.878674370942698,1,0.127046075731684,-37.6629360615458,3.06033659280099,20.036613078291,-0.0907333350071644,0.819743099284991,0.0765629313638101
"HYB_SRR1974546",-0.941519209101399,-0.343759013655672,-2.30258509299405,-1.6318603860574,1,0.168906040258113,-1.03060917689276,2.29444451752526,8.91344617554091,-0.340033885097621,4.77329927891458,0.119705979056962
"HYB_SRR1974547",-0.536450445940533,-0.583577379777039,-2.30258509299405,-1.40173220670367,1,0.215991945082837,-4.25914152891992,2.77981791179467,4.70459575808422,-0.175834463921821,0.371852275833044,0.168773911263558
"OLI_SRR1974548",-0.512066136980785,-1.19063939404163,-2.30258509299405,-1.70973452618092,1,0.167681068207351,-2.45056036869189,2.02628866163929,4.24383144903909,-0.607930244769007,0.1,0.312243669605946
"OLI_SRR1974549",-2.52902926145819,0.121080422102672,-2.30258509299405,-0.896804690917443,1,0.147308024176245,-24.284044843831,3.58895584115546,24.038357647485,-0.0704705506130664,1.7833921491021,0.0807157774695688
"HYB_SRR1974550",1.07939235384697,-0.834512384853642,-2.30258509299405,-2.11611858097451,1,0.220655073304353,-4.37062932282005,2.38687345365416,4.84250757774753,-0.3250758589499,0.206909588459742,0.134453821000411
"HYB_SRR1974551",0.648060543445696,-1.17364438802045,-2.30258509299405,-1.71526862007437,1,0.330833405254168,-0.831930324008274,2.44581216589253,1.76188037883396,-1.02850214717997,0.1,0.299613376160405
"HYB_SRR1974552",-2.64732297675721,-0.499706201552633,-2.30258509299405,-0.926378124618773,1,0.163598972811772,1.18681221385379,2.0621525043024,3.66717599062762,-6.67067784605737,0.1,0.244277484353655
"OLI_SRR1974553",-2.08796272520572,-0.0383209255872461,-2.30258509299405,-0.833404895106666,1,0.127776541593277,-5.99674435642629,3.10545917442001,11.0350343003319,-0.118040742996768,1.10693293972656,0.0811652116455523
"HYB_SRR1974554",-0.396246955311416,-0.834074049967151,-2.30258509299405,-1.73772210958286,1,0.19335570569074,-3.07580224485639,2.208015106037,4.57316269628164,-0.599552867052691,0.143486196233265,0.223467395442748
"HYB_SRR1974555",0.937883488829433,-1.20026161210828,-2.30258509299405,-1.59089465299351,1,0.376066650190288,-1.03098473877162,2.52818761121158,1.47604377158701,-1.00963294576027,0.1,0.301599899638203
"HYB_SRR1974556",0.197043496635478,-0.475981362029484,-2.30258509299405,-1.62282804622641,1,0.236828915680705,-8.62258891495504,2.74630763111012,2.57077868040724,-0.257937854909246,0.1,0.14343541058898
"AST_SRR1974557",-1.64041618412413,-0.200563968242605,-2.30258509299405,-1.21998362873421,1,0.132208154860703,-3.25117760675804,2.66343706382725,11.4470064194049,-0.197364924726979,3.93380269196466,0.0774621813415005
"HYB_SRR1974558",0.734711635901924,-1.54079555292157,-2.30258509299405,-1.85987580593514,1,0.214948918369958,-1.4575588430895,2.28386861049098,3.23266368628257,-0.719772765400028,0.1,0.363444022798931
"HYB_SRR1974559",1.42568892884598,-1.44088051363939,-2.30258509299405,-1.83042193753451,1,0.354943825595282,-0.756789952341605,2.52441854581007,1.83500353278367,-1.23961509674972,0.1,0.32383343508424
"HYB_SRR1974560",-0.0798938092998616,-1.21407621200895,-2.30258509299405,-1.77187247888516,1,0.187291878773301,-1.13672376660396,2.23538355969739,4.50246675023302,-0.689819666135818,0.225880468205788,0.316756545233829
"OLI_SRR1974561",-2.104956663281,-0.0463382485505966,-2.30258509299405,-0.789544883216825,1,0.189458919284132,-0.738430708529062,3.85904917450216,7.11493511738251,-0.106343176242538,1.8063357468222,0.0861402714329837
